Time;Temperature;Humidity;Air Quality;Light;Loudness;Power Consumption;is_anomaly;anomaly_score
2024-06-24 08:00:00;26.745;61.624;33.092;294.296;44.901;50.251;0;0.056
2024-06-24 08:01:00;25.793;64.277;39.75;318.453;43.489;52.862;0;0.087
2024-06-24 08:02:00;26.972;61.038;40.144;302.897;44.483;50.818;0;0.066
2024-06-24 08:03:00;28.285;63.46;43.781;322.6;47.144;55.773;0;0.003
2024-06-24 08:04:00;25.649;55.532;29.065;339.292;48.834;63.38;0;0.149
2024-06-24 08:05:00;25.649;66.066;44.741;391.858;46.711;49.603;0;0.082
2024-06-24 08:06:00;28.369;65.006;18.365;333.942;45.305;62.006;0;0.071
2024-06-24 08:07:00;27.151;60.915;34.961;270.719;49.494;49.528;0;0.143
2024-06-24 08:08:00;25.296;68.296;36.094;407.003;44.061;49.067;0;0.023
2024-06-24 08:09:00;26.814;69.688;45.067;308.145;48.093;60.73;0;0.028
2024-06-24 08:10:00;25.305;56.962;40.181;347.064;44.136;61.454;0;0.121
2024-06-24 08:11:00;25.301;61.186;28.755;372.327;46.293;60.96;0;0.039
2024-06-24 08:12:00;26.363;61.154;32.12;359.981;44.659;45.789;0;0.12
2024-06-24 08:13:00;23.13;60.3;41.589;404.709;44.832;51.738;0;0.041
2024-06-24 08:14:00;23.413;69.147;39.367;373.95;43.868;60.761;0;0.005
2024-06-24 08:15:00;25.157;64.031;35.367;306.935;49.035;55.291;0;0.078
2024-06-24 08:16:00;24.481;63.677;36.153;458.928;42.801;47.484;0;0.03
2024-06-24 08:17:00;26.471;54.981;45.569;359.717;42.779;58.208;0;0.114
2024-06-24 08:18:00;24.638;68.177;35.858;342.633;51.363;49.996;0;0.096
2024-06-24 08:19:00;23.882;58.804;39.295;398.196;47.934;67.562;0;0.139
2024-06-24 08:20:00;28.198;65.3;57.359;362.473;37.845;65.814;0;0.117
2024-06-24 08:21:00;25.661;66.387;28.611;369.961;43.304;59.229;0;0.027
2024-06-24 08:22:00;26.101;71.803;25.185;474.609;39.564;64.527;0;0.12
2024-06-24 08:23:00;23.863;58.456;46.269;336.244;42.148;55.454;0;0.096
2024-06-24 08:24:00;25.183;49.902;34.571;334.112;35.584;60.358;0;0.1
2024-06-24 08:25:00;26.166;65.919;37.454;355.829;44.589;65.344;0;0.125
2024-06-24 08:26:00;24.274;74.003;33.751;403.576;41.574;56.718;0;0.086
2024-06-24 08:27:00;26.564;71.195;37.922;274.673;45.18;53.214;0;0.07
2024-06-24 08:28:00;25.099;66.048;52.788;251.722;40.125;43.068;0;0.095
2024-06-24 08:29:00;25.562;62.542;46.417;320.644;45.249;54.418;0;0.045
2024-06-24 08:30:00;25.097;69.036;46.898;268.304;43.755;60.764;0;0.027
2024-06-24 08:31:00;28.778;60.132;28.67;328.758;49.506;61.619;0;0.092
2024-06-24 08:32:00;25.98;67.382;30.791;375.125;49.234;58.531;0;0.035
2024-06-24 08:33:00;24.413;67.527;17.287;305.463;47.356;51.211;0;0.012
2024-06-24 08:34:00;27.234;70.301;33.525;278.659;44.02;41.162;0;0.0
2024-06-24 08:35:00;24.169;78.798;47.654;353.467;50.956;51.533;0;0.091
2024-06-24 08:36:00;26.313;66.962;44.136;393.127;40.341;52.87;0;0.054
2024-06-24 08:37:00;23.06;62.455;38.228;265.251;40.789;52.809;0;0.113
2024-06-24 08:38:00;24.008;64.872;39.822;391.012;44.749;59.33;0;0.056
2024-06-24 08:39:00;26.295;56.155;34.489;390.865;51.762;68.9;0;0.073
2024-06-24 08:40:00;27.108;61.526;41.638;397.704;44.393;55.865;0;0.061
2024-06-24 08:41:00;26.257;62.954;46.127;410.924;44.45;53.483;0;0.098
2024-06-24 08:42:00;25.827;62.38;27.073;460.101;40.674;53.185;0;0.053
2024-06-24 08:43:00;25.548;65.762;42.397;332.195;47.838;55.871;0;0.145
2024-06-24 08:44:00;23.782;60.888;47.459;355.479;47.86;49.202;0;0.14
2024-06-24 08:45:00;24.92;70.605;36.679;329.178;47.367;55.841;0;0.127
2024-06-24 08:46:00;25.309;65.001;45.606;350.099;43.112;58.156;0;0.138
2024-06-24 08:47:00;27.586;64.953;62.517;426.644;42.88;56.468;0;0.067
2024-06-24 08:48:00;26.515;63.361;39.165;282.749;41.121;58.203;0;0.08
2024-06-24 08:49:00;23.355;65.776;43.146;306.948;45.252;58.036;0;0.111
2024-06-24 08:50:00;36.776;69.125;34.096;418.859;41.759;42.597;1;0.986
2024-06-24 08:51:00;25.422;60.664;41.45;401.002;41.468;59.458;0;0.134
2024-06-24 08:52:00;24.985;61.709;43.682;331.843;43.729;50.303;0;0.107
2024-06-24 08:53:00;26.918;63.481;41.559;392.72;43.533;47.329;0;0.15
2024-06-24 08:54:00;27.546;58.271;31.842;367.061;43.386;47.269;0;0.052
2024-06-24 08:55:00;27.397;60.904;41.651;425.014;46.399;58.035;0;0.125
2024-06-24 08:56:00;24.741;62.619;51.698;353.725;45.237;53.442;0;0.105
2024-06-24 08:57:00;25.536;69.372;43.589;401.282;44.136;43.226;0;0.104
2024-06-24 08:58:00;26.497;66.313;47.696;482.101;45.549;58.346;0;0.049
2024-06-24 08:59:00;27.463;65.968;38.104;379.905;42.025;44.923;0;0.118
2024-06-24 09:00:00;25.281;69.254;45.999;352.466;45.316;55.979;0;0.135
2024-06-24 09:01:00;25.722;64.313;42.234;386.122;45.452;56.669;0;0.033
2024-06-24 09:02:00;24.34;66.952;32.393;331.736;40.491;61.199;0;0.094
2024-06-24 09:03:00;24.206;64.484;42.548;469.398;47.987;67.472;0;0.059
2024-06-24 09:04:00;27.219;66.327;32.066;359.004;42.356;45.447;0;0.148
2024-06-24 09:05:00;28.034;62.086;34.937;336.353;45.271;54.633;0;0.072
2024-06-24 09:06:00;25.892;52.806;41.515;308.216;48.493;53.066;0;0.034
2024-06-24 09:07:00;27.505;64.329;42.378;404.861;47.777;58.036;0;0.057
2024-06-24 09:08:00;26.542;72.114;30.486;393.359;45.103;56.51;0;0.098
2024-06-24 09:09:00;25.032;69.631;48.432;325.132;43.913;52.532;0;0.011
2024-06-24 09:10:00;26.542;69.827;44.576;378.823;47.843;51.914;0;0.091
2024-06-24 09:11:00;28.307;71.181;34.362;274.572;47.024;47.185;0;0.14
2024-06-24 09:12:00;25.946;65.443;27.699;359.249;43.145;61.915;0;0.128
2024-06-24 09:13:00;28.347;65.987;38.841;372.638;42.615;58.214;0;0.01
2024-06-24 09:14:00;22.07;61.912;36.432;435.366;38.783;61.424;0;0.149
2024-06-24 09:15:00;27.233;63.42;40.905;311.459;45.462;52.827;0;0.105
2024-06-24 09:16:00;26.131;68.079;37.095;286.082;44.752;50.402;0;0.024
